title,movie_id,tags
Pacific Rim,68726,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse. Action ScienceFiction Adventure dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d IdrisElba CharlieHunnam CharlieDay GuillermodelToro"
Transformers: Dark of the Moon,38356,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets. Action ScienceFiction Adventure moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger ShiaLaBeouf JohnMalkovich KenJeong MichaelBay"
Indiana Jones and the Kingdom of the Crystal Skull,217,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts. Adventure Action savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology  HarrisonFord CateBlanchett ShiaLaBeouf StevenSpielberg"
The Good Dinosaur,105864,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend. Adventure Animation Family tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey RaymondOchoa JackBright JeffreyWright PeterSohn
Brave,62177,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall. Animation Adventure Comedy Family Action Fantasy scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d KellyMacdonald JulieWalters BillyConnolly BrendaChapman MarkAndrews StevePurcell"
WALL·E,10681,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves. Animation Family romanticcomedy BenBurtt ElissaKnight JeffGarlin AndrewStanton"
2012,14161,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world. Action Adventure ScienceFiction civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind JohnCusack AmandaPeet ChiwetelEjiofor RolandEmmerich"
A Christmas Carol,17979,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption. Animation Drama holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas GaryOldman JimCarrey SteveValentine RobertZemeckis"
Jupiter Ascending,76757,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty… ScienceFiction Fantasy Action Adventure jupiter space womandirector 3d interspeciesromance MilaKunis ChanningTatum SeanBean LillyWachowski LanaWachowski"
The Legend of Tarzan,258489,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment. Action Adventure africa feralchild tarzan jungle animalattack AlexanderSkarsgård MargotRobbie ChristophWaltz DavidYates"
X-Men: Apocalypse,246655,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan. ScienceFiction mutant supernaturalpowers marvelcomic superhero basedoncomicbook superhuman apocalypse superheroteam worlddomination aftercreditsstinger 1980s JamesMcAvoy MichaelFassbender JenniferLawrence BryanSinger"
The Dark Knight,155,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker. Drama Action Crime Thriller dccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomicbook tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batman ChristianBale HeathLedger AaronEckhart ChristopherNolan"
Monsters vs Aliens,15512,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters... Animation Family Adventure ScienceFiction alien giantrobot duringcreditsstinger SethRogen ReeseWitherspoon HughLaurie ConradVernon RobLetterman"
Iron Man,1726,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil. Action ScienceFiction Adventure middleeast armsdealer malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse counterterrorism agentcoulson RobertDowneyJr. TerrenceHoward JeffBridges JonFavreau"
Hugo,44826,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past. Adventure Drama Family library clock filmdirector key toy boy love orphan robot automaton hiding filmmaking legbrace doberman 3d BenKingsley SachaBaronCohen AsaButterfield MartinScorsese"
The Mummy: Tomb of the Dragon Emperor,1735,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power. Adventure Action Fantasy BrendanFraser JetLi JohnHannah RobCohen"
Suicide Squad,297761,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences. Action Adventure Crime Fantasy ScienceFiction dccomics shareduniverse antihero secretmission villain superhero supervillain dcextendeduniverse WillSmith MargotRobbie JoelKinnaman DavidAyer"
Evan Almighty,2698,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood. Fantasy Comedy Family fathersonrelationship dailylife marriedcouple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah'sark SteveCarell LaurenGraham JohnGoodman TomShadyac
Edge of Tomorrow,137113,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop. Action ScienceFiction dejavu timewarp restart dystopia war alien militaryofficer soldier alieninvasion exoskeleton TomCruise EmilyBlunt BrendanGleeson DougLiman"
G.I. Joe: The Rise of Cobra,14869,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos. Adventure Action Thriller ScienceFiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra DennisQuaid ChanningTatum MarlonWayans StephenSommers"
